county,fips
Humboldt,6023
Imperial,6025
Plumas,6063
Kern,6029
Trinity,6105
Sonoma,6097
Madera,6039
Monterey,6053
Modoc,6049
Amador,6005
Solano,6095
Contra Costa,6013
Yolo,6113
Shasta,6089
Merced,6047
Sacramento,6067
San Bernardino,6071
Stanislaus,6099
Napa,6055
Riverside,6065
Santa Barbara,6083
San Joaquin,6077
Lake,6033
Ventura,6111
Tuolumne,6109
Tulare,6107
Orange,6059
Kings,6031
Mendocino,6045
San Benito,6069
Colusa,6011
San Mateo,6081
Tehama,6103
Marin,6041
San Diego,6073
San Luis Obispo,6079
Fresno,6019
Lassen,6035
Santa Cruz,6087
Nevada,6057
Alameda,6001
Santa Clara,6085
Siskiyou,6093
Placer,6061
Del Norte,6015
Glenn,6021
Calaveras,6009
San Francisco,6075
Butte,6007
Los Angeles,6037
Sutter,6101
Yuba,6115
Inyo,6027
El Dorado,6017
Mono,6051
Mariposa,6043
